seller_id,seller_zip_code_prefix,seller_city,seller_state
1585b78d0321edb24ccbf3a7a431e39b,20736,sao paulo,SP
2c1ea9cc23fe7b9a8bb1afea249219e6,20420,sorocaba,SP
91610125804f9b07175977e4ec336fe8,99432,nova iguacu,RJ
5e9a058cf87363c4a32745ccb42d6efd,89221,betim,MG
7a75a213b1cd272bfb12269ae9e22e37,22835,duque de caxias,RJ
b9c8e706348eb9aeee2352476155ee06,31280,niteroi,RJ
e46bd16bf06be2b29318c290ecc15386,16045,ponta grossa,PR
7458b333c77eea3e91c036965738882b,33154,duque de caxias,RJ
93d5ad64f69a46a9442fb5f075b0d177,85365,chapeco,SC
c84a0641eabef5cca747c9b842698340,88176,city_al_1,AL
e7123e7ada0576c5de30d100cd4c53ae,94325,contagem,MG
f9aa5cda05fef5f9b7855399e1c98cce,37925,juiz de fora,MG
0542b19de4a407bf6ac553968cfc586d,2140,city_es_2,ES
603b0bb561ac5b2bee3675e66624d302,86328,ribeirao preto,SP
2b971b149c335e22a2fdeadc435ca5f6,12082,ribeirao preto,SP
6f72d592aa599c72e2774f4df4d287ae,68194,caxias do sul,RS
ed12132923cd5fecdecbb9c57d398037,2418,contagem,MG
84a38c567bcc17bd642c0a31bdfd6aec,75192,city_ro_1,RO
06f138158252e4d56a0157224647b5d6,43065,city_am_2,AM
a86a28510ed5f49a60299060bc92847b,29002,santos,SP
26ab18547556a718c22e638a7e6de951,10279,joinville,SC
fad6524b49be75776c945d0a6b718e41,78560,santos,SP
b4c861f0ae9a2e7b5a918436a07b3089,3554,campinas,SP
5e5aa5ed5267464a6e4082409e5ad30f,92225,maringa,PR
f5fa975daf594835281bcf589da4ee66,50579,chapeco,SC
c8af46f90460d59b1f3f9a817b8924d5,91295,city_rr_1,RR
c0aa5239b1d3f5d8115db0e27689ba11,1844,feira de santana,BA
6d9c7400cf973d7c41c58785e1a6bb49,22749,sao paulo,SP
5b1e005a2278fcdb03847101ed589a23,11648,ribeirao preto,SP
0d82c7c93b2c92de14921dcf97da7a17,1971,campinas,SP
2ed7615253832990e41dd5a0ff190f8b,82356,sorocaba,SP
dee1824956b62f9bb2a13aa8503888a5,59151,sao paulo,SP
de83b1e8b1de9f2ffcff13c2dd0f2282,48911,city_pa_1,PA
8b4e04fcd29133efa3439b33b5b90e65,37704,rio de janeiro,RJ
b02a9f5be63b088749c706c0fbeee93b,1822,city_ms_1,MS
9cef6000bbdb7a8c965f638650e29e10,74292,city_to_1,TO
e98f6d4a7e4d6ee49c70b08f9a983bc7,57102,betim,MG
285accd0fd1cd9f9e9dfc885f4291781,68601,sorocaba,SP
bc4f641272ee1596086e65d38016d073,67088,canoas,RS
6812d68841eba17c04028bf1dc8ba127,17729,feira de santana,BA
b2fb612bd4fdfe4b4acd42d26506fa5f,75876,ribeirao preto,SP
0fa337fcffffd0c0b072c5bd12552bbc,32453,campinas,SP
709c2be7a7703d0ffe2b94330ac233f1,31669,city_am_1,AM
d93f82a04f9bac408612bce8eee4955f,78323,campinas,SP
ec0f7472509eed951a4ab7e86f7ac386,23128,uberlandia,MG
ea76d54382e143afa87561608850fba1,31446,city_pa_2,PA
b6cdf2fbe25fb2b09bbe19a3d81cd46d,90768,sao paulo,SP
1c4a88617190684997eb2e8739761eab,18208,campinas,SP
cb6074f2cd5ea279540260b1c76fdfd3,22636,ribeirao preto,SP
1f00672547d8aa98c8df85cd276d5fce,27709,campinas,SP
808c78bd8496eb69d139c4e5994d60a3,38479,campinas,SP
6b261978ce5ba4ee36ddc4796b75f1b1,94387,ribeirao preto,SP
d8f266f389a399523bd34f5b09002312,82324,juiz de fora,MG
10026706332022220989f921410214b0,20552,maringa,PR
c965ee6238cf3455d55bdc5a4aceb695,54627,ponta grossa,PR
d93c948b60686418eedbaf2ec0b631f1,43610,ribeirao preto,SP
d165eeb6993f5eedb6fabcad9b610bca,56793,betim,MG
2e52ee3e9fbb834dbb471bcf3bd894ff,41406,campinas,SP
d2f30f424e2efc5bfb2f91e3bcf35468,99304,sao paulo,SP
45c3fb71a23fb51d7c53cdd44482afd2,80864,sorocaba,SP
9ebfb31c01f1a34f2f76abfc3d971d3b,96119,sorocaba,SP
8a667f8fb477b48e746f7473e07452ba,65879,belo horizonte,MG
970a1e047b40dc3e171f60d31d9c3dc0,69777,duque de caxias,RJ
b2f28f69133e8cbc3c902c2a65e7a189,85044,santos,SP
cb340ff3730e72f003f4bc384aa81ef6,10847,sorocaba,SP
ab87f0dc62cbbd6f257becf52309ea80,30646,campinas,SP
0a31bdafddc354c494ba064aa700c705,97462,city_rn_1,RN
4744de7b9edf2f01019b963f3b1865d0,98096,betim,MG
94ca46d6dc53a9c54ce79acc1af14a5a,19038,city_al_2,AL
0c2948532205881a230dc8de30e2110b,9915,campinas,SP
c02861d31f7419820e61684d631c82e3,41592,campinas,SP
e09073b1fda4b8b9d4a341cb74fc9a75,91303,city_al_2,AL
2680e2128840317c76a114e8df301f89,91397,sorocaba,SP
e87edd8d1aef703e830eac4726bebba1,1052,petropolis,RJ
eb483ed920af4fe549330874e24e5da4,37058,campinas,SP
a0cc59a75ff32df7fd84b2d328fd16c6,70450,contagem,MG
d2abeea7e57a52c4952080e280d5b747,49538,maringa,PR
732bb83b913139609fab37490e7dfc20,32487,belo horizonte,MG
8a31f98990e1718f85d90798b3c490d6,51277,city_pi_2,PI
e5d8e1f3daa4ffafe0c3c9a269025a01,78477,niteroi,RJ
